ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
1,20p,"C1,C9",C0603,2,,,,,
2,10uF,"C2,C3",C0805,2,CGA0805X5R106M350MT,HRE(芯声),LCSC,C6119891,0.156
3,0.1u,"C4,C5,C6,C8,C10",C0603,5,,,,,
4,4.7u,C7,C0603,1,,,,,
5,USBLC6,D1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,USBLC6-2SC6,TWGMC(迪嘉),LCSC,C5250994,0.091
6,hed,H1,HDR-F-2.54_1X2,1,,,LCSC,C49661,0.065
7,Header-Male-2.54_1x4,"I2C1,URAT1",HDR-TH_4P-P2.54-V-M,2,B-2100S04P-A110,Ckmtw(灿科盟),LCSC,C124378,0.056
8,SMB,L2,L0603,1,"SMB 160808 E2 601P,600Ω(100MHz),1A,0603",,LCSC,C9900018455,
9,3225-8MHZ,OSILATOR,CRYSTAL-SMD_L3.2-W2.5_3225-8MHZ,1,3225-8MHz,,LCSC,C9900007658,
10,STM32F103C8T6,PROCESSER1,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,1,STM32F103C8T6,ST(意法半导体),LCSC,C8734,1.736
11,2.54mm 1*5P Header,PROGRAMMER1,HDR-TH_5P-P2.54-V-M,1,2.54mm 1*5P Header,ReliaPro,LCSC,C50951,
12,22,"R1,R3",R0603,2,,,,,
13,5.1k,"R2,R4",R0603,2,,,,,
14,1k,"R5,R11",R0603,2,,,,,
15,10k,"R6,R7",R0603,2,,,,,
16,Header-Male-2.54_1x6,SPI1,HDR-TH_6P-P2.54-V-M-1,1,2.54-1x6P直针,BOOMELE(博穆精密),LCSC,C37208,0.042
17,SMD,SW1,SW-SMD_4P-L6.0-W6.0-P4.50-LS9.0_C23873,1,贴片轻触开关6*6*6mm,,LCSC,C23873,
18,LED-0603_R,"S_LED1,U_LED1",LED0603_RED,2,19-217/R6C-AL1M2VY/3T,EVERLIGHT(台湾亿光),LCSC,C72044,0.021
19,AMS1117-3.3_C18212698,U3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117-3.3,TECH PUBLIC(台舟),LCSC,C18212698,0.053
20,GT-USB-7043B,USB-C1,USB-C-SMD_GT-USB-7043,1,GT-USB-7043B,G-Switch(品赞),LCSC,C22383821,0.827
