index,ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
0,1,20p,"C1,C9",C0603,2,,,,,
1,2,10uF,"C2,C3",C0805,2,CGA0805X5R106M350MT,HRE,LCSC,C6119891,0.156
2,3,0.1u,"C4,C5,C6,C8,C10,C11",C0603,6,,,,,
3,4,4.7u,C7,C0603,1,,,,,
4,5,USBLC6,D1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,USBLC6-2SC6,TWGMC,LCSC,C5250994,0.091
5,6,hed,H1,HDR-F-2.54_1X2,1,,,LCSC,C49661,0.065
6,7,Header-Male-2.54_1x4,"I2C1,URAT1",HDR-TH_4P-P2.54-V-M,2,B-2100S04P-A110,Ckmtw,LCSC,C124378,0.056
7,8,SMB,L2,L0603,1,"SMB 160808 E2 601P,600Ω(100MHz),1A,0603",,LCSC,C9900018455,
8,9,3225-8MHZ,OSILATOR,CRYSTAL-SMD_L3.2-W2.5_3225-8MHZ,1,3225-8MHz,,LCSC,C9900007658,
9,10,STM32F103C8T6,PROCESSER1,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,1,STM32F103C8T6,ST,LCSC,C8734,1.736
10,11,2.54mm 1*5P Header,PROGRAMMER1,HDR-TH_5P-P2.54-V-M,1,2.54mm 1*5P Header,ReliaPro,LCSC,C50951,
11,12,22,"R1,R3",R0603,2,,,,,
12,13,5.1k,"R2,R4",R0603,2,,,,,
13,14,1k,"R5,R11",R0603,2,,,,,
14,15,10k,"R6,R7",R0603,2,,,,,
15,16,Header-Male-2.54_1x6,SPI1,HDR-TH_6P-P2.54-V-M-1,1,2.54-1x6P,BOOMELE,LCSC,C37208,0.042
16,17,SMD,SW1,SW-SMD_4P-L6.0-W6.0-P4.50-LS9.0_C23873,1,贴片轻触开关6*6*6mm,,LCSC,C23873,
17,18,LED-0603_R,"S_LED1,U_LED1",LED0603_RED,2,19-217/R6C-AL1M2VY/3T,EVERLIGHT,LCSC,C72044,0.021
18,19,AMS1117-3.3_C18212698,U3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117-3.3,TECH PUBLIC,LCSC,C18212698,0.053
19,20,GT-USB-7043B,USB-C1,USB-C-SMD_GT-USB-7043,1,GT-USB-7043B,G-Switch,LCSC,C22383821,0.827
20,21,SN65HVD230,U1,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,Texas Instruments,,,
21,22,120,R8,R0603,1,,,,,
